Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7",C0805,3,10u,C15850
"C10, C3, C4, C5, C6, C8, C9",C0603,7,100n,C14663
"C11, C12",C0805,2,1u,C28323
"D1, D2, D4",SOT-23-3,3,BAV99,C2500
D3,SOD-123,1,5V6,C152307
D5,SOD-123,1,24V/1W,C209605
D6,SOD-123,1,7V5/1W,C209594
D7,LED_0603,1,LED,C72043
J1,"MSTBA_2,5_2-G-5,08",1,"MSTBA 2,5/2-G-5,08",C3697
"J2, J6",Molex_PicoBlade_53047-0210,2,Molex 53047-0210,C114130
"J3, J7",Molex_PicoBlade_53047-0410,2,Molex 53047-0410,C504989
J5,HRO_TYPE-C-31-M-12,1,HRO TYPE-C-31-M-12,C165948
J8,PinHeader_1x02_P1.27mm,1,Harwin M50-3530242,C2881948
"Q1, Q2",SOT-23-3,2,BC817-40,C6749
"R1, R2, R3",R0603,3,100K,C25803
R10,R0603,1,47K,C25819
"R12, R13",R0603,2,5K1,C23186
R14,R0805,1,100K,C149504
"R15, R16",R0805,2,15K,C17475
R4,R0603,1,4K7,C23162
R5,R0603,1,300K,C23024
R6,R0603,1,51K,C23196
R7,R0603,1,2M,C22976
R8,R0603,1,10K,C25804
R9,R0603,1,0R,C21189
U1,SO08,1,AZV3002,C5123396
U2,SO08,1,ADuM1201,C9669
U5,SOT-23-6L,1,SRV05-4,C85364
U6,SOT-23-3,1,XC6206P332MR,C5446
U7,LQFP-32,1,STM32L412KBT6,C529438
